z_bin,z_center,env_name,n_red,n_blue,rrf,rbf,rrf_err,rbf_err,selection
0.15-0.25,0.2,Filament,5720.0,3343.0,0.4138330198234698,0.4187124248496994,0.004189264686592284,0.005521323327640732,10.5<logM<12.5
0.15-0.25,0.2,Knot,646.0,436.0,0.04673708580523803,0.05460921843687375,0.001795360719743357,0.002542894824900246,10.5<logM<12.5
0.15-0.25,0.2,Sheet,6362.0,3709.0,0.4602807119085516,0.4645541082164329,0.004239453861758381,0.00558168962883855,10.5<logM<12.5
0.15-0.25,0.2,Void,1094.0,496.0,0.07914918246274055,0.06212424849699399,0.0022963200159290486,0.002701425304920691,10.5<logM<12.5
0.15-0.25,0.3,Filament,,,,,,,10.5<logM<12.5
0.15-0.25,0.3,Knot,,,,,,,10.5<logM<12.5
0.15-0.25,0.3,Sheet,,,,,,,10.5<logM<12.5
0.15-0.25,0.3,Void,,,,,,,10.5<logM<12.5
0.15-0.25,0.4,Filament,,,,,,,10.5<logM<12.5
0.15-0.25,0.4,Knot,,,,,,,10.5<logM<12.5
0.15-0.25,0.4,Sheet,,,,,,,10.5<logM<12.5
0.15-0.25,0.4,Void,,,,,,,10.5<logM<12.5
0.15-0.25,0.5,Filament,,,,,,,10.5<logM<12.5
0.15-0.25,0.5,Knot,,,,,,,10.5<logM<12.5
0.15-0.25,0.5,Sheet,,,,,,,10.5<logM<12.5
0.15-0.25,0.5,Void,,,,,,,10.5<logM<12.5
0.25-0.35,0.2,Filament,,,,,,,10.5<logM<12.5
0.25-0.35,0.2,Knot,,,,,,,10.5<logM<12.5
0.25-0.35,0.2,Sheet,,,,,,,10.5<logM<12.5
0.25-0.35,0.2,Void,,,,,,,10.5<logM<12.5
0.25-0.35,0.3,Filament,33088.0,18973.0,0.4017045247605288,0.41306714273273537,0.0017081630541040053,0.0022974541791111218,10.5<logM<12.5
0.25-0.35,0.3,Knot,4783.0,2380.0,0.0580679624616057,0.05181572759731778,0.0008148847329600094,0.0010342356316130896,10.5<logM<12.5
0.25-0.35,0.3,Sheet,38186.0,20945.0,0.4635967414925518,0.4560001741705129,0.0017375367315413928,0.0023239362294798062,10.5<logM<12.5
0.25-0.35,0.3,Void,6312.0,3634.0,0.07663077128531365,0.07911695549943394,0.0009268456168001659,0.0012594453975786958,10.5<logM<12.5
0.25-0.35,0.4,Filament,,,,,,,10.5<logM<12.5
0.25-0.35,0.4,Knot,,,,,,,10.5<logM<12.5
0.25-0.35,0.4,Sheet,,,,,,,10.5<logM<12.5
0.25-0.35,0.4,Void,,,,,,,10.5<logM<12.5
0.25-0.35,0.5,Filament,,,,,,,10.5<logM<12.5
0.25-0.35,0.5,Knot,,,,,,,10.5<logM<12.5
0.25-0.35,0.5,Sheet,,,,,,,10.5<logM<12.5
0.25-0.35,0.5,Void,,,,,,,10.5<logM<12.5
0.35-0.45,0.2,Filament,,,,,,,10.5<logM<12.5
0.35-0.45,0.2,Knot,,,,,,,10.5<logM<12.5
0.35-0.45,0.2,Sheet,,,,,,,10.5<logM<12.5
0.35-0.45,0.2,Void,,,,,,,10.5<logM<12.5
0.35-0.45,0.3,Filament,,,,,,,10.5<logM<12.5
0.35-0.45,0.3,Knot,,,,,,,10.5<logM<12.5
0.35-0.45,0.3,Sheet,,,,,,,10.5<logM<12.5
0.35-0.45,0.3,Void,,,,,,,10.5<logM<12.5
0.35-0.45,0.4,Filament,120685.0,37468.0,0.41056860783953514,0.4144827815082359,0.0009073518387208274,0.0016384985956498816,10.5<logM<12.5
0.35-0.45,0.4,Knot,15213.0,5287.0,0.05175440387009859,0.05848645419648882,0.00040860181848449164,0.0007804838550395362,10.5<logM<12.5
0.35-0.45,0.4,Sheet,135596.0,40958.0,0.4612956121192328,0.4530902574200471,0.000919456401741503,0.0016556677253577463,10.5<logM<12.5
0.35-0.45,0.4,Void,22452.0,6684.0,0.07638137617113347,0.07394050687522816,0.0004898987177917518,0.0008703293849181244,10.5<logM<12.5
0.35-0.45,0.5,Filament,,,,,,,10.5<logM<12.5
0.35-0.45,0.5,Knot,,,,,,,10.5<logM<12.5
0.35-0.45,0.5,Sheet,,,,,,,10.5<logM<12.5
0.35-0.45,0.5,Void,,,,,,,10.5<logM<12.5
0.45-0.55,0.2,Filament,,,,,,,10.5<logM<12.5
0.45-0.55,0.2,Knot,,,,,,,10.5<logM<12.5
0.45-0.55,0.2,Sheet,,,,,,,10.5<logM<12.5
0.45-0.55,0.2,Void,,,,,,,10.5<logM<12.5
0.45-0.55,0.3,Filament,,,,,,,10.5<logM<12.5
0.45-0.55,0.3,Knot,,,,,,,10.5<logM<12.5
0.45-0.55,0.3,Sheet,,,,,,,10.5<logM<12.5
0.45-0.55,0.3,Void,,,,,,,10.5<logM<12.5
0.45-0.55,0.4,Filament,,,,,,,10.5<logM<12.5
0.45-0.55,0.4,Knot,,,,,,,10.5<logM<12.5
0.45-0.55,0.4,Sheet,,,,,,,10.5<logM<12.5
0.45-0.55,0.4,Void,,,,,,,10.5<logM<12.5
0.45-0.55,0.5,Filament,60084.0,26137.0,0.393521217162356,0.40447855893777374,0.0012502490698600435,0.001930706849127841,10.5<logM<12.5
0.45-0.55,0.5,Knot,8608.0,3414.0,0.0563782477420538,0.052832758167102555,0.0005902818318273925,0.0008800044335951079,10.5<logM<12.5
0.45-0.55,0.5,Sheet,72050.0,29669.0,0.47189274509932344,0.4591374054070784,0.0012775778534566378,0.001960354865875036,10.5<logM<12.5
0.45-0.55,0.5,Void,11941.0,5399.0,0.07820778999626678,0.0835512774880453,0.0006871415043586138,0.0010885553483297925,10.5<logM<12.5
